feature,mi_score
FAM195B,0.17317174265604662
SPIN4,0.17082954122763705
TRA2B,0.16733265966764255
IRF4,0.16359015543331656
ZC3HC1,0.1512583074632594
ZBTB24,0.14974341289525683
DPH5,0.14902774148556452
ZNF174,0.1445264571114997
RYBP,0.14255376539898879
ECE2,0.1419664561521774
KLHL2,0.14027306636346992
NOP14,0.13807312055012932
NCOA1,0.13468031201529485
METTL3,0.13373348248857342
SNX8,0.1335452093893612
DHX35,0.13135715489932354
SLC35C2,0.1310412702269914
HSF4,0.12976957183990812
TMEM117,0.1295091690556902
NUMBL,0.1280126397322976
LOC100288069,0.12793126543593147
IFT122,0.12785912175269232
FBXO16,0.12761328715980835
MRPS15,0.1276058922961978
UBTD2,0.1260343327200537
ATF3,0.1252663452168319
NCF1,0.12448521944017132
FAM193B,0.12430299860868899
FEM1B,0.12344727155148516
UTP11L,0.12331840469184918
INPP5F,0.12322006130968832
ZSCAN12,0.12315651734789457
VCPIP1,0.12315245324761714
RMND5A,0.123003165962702
COLEC12,0.12289217698740029
AKR7A2,0.12280846591267935
GGT1,0.12258554780514608
PHRF1,0.12216297578189539
ME3,0.12205777115745975
EIF3L,0.12119835593718498
P4HA2,0.12110886111787611
PARP15,0.12078033201553184
AMIGO1,0.1201029533187461
GRWD1,0.11987021198460668
EGFR,0.11971724658772187
BLMH,0.11902117767022835
CD2,0.11892067714485988
PDP1,0.11881401704832117
FAM65C,0.11845007543437958
PLD6,0.11806906001942741
DUS1L,0.11780485526992868
BICD2,0.1175976625526145
ZFAND1,0.11720762603254675
PSMD9,0.11710228107187914
PLEKHA8P1,0.1168809501152539
MRPS16,0.11669666470902174
NLRC3,0.11558688252266314
LOC541471,0.11558575084494183
C20orf30,0.11556026903004613
THEM5,0.11519027564153861
TUBB6,0.11496631022984993
ANO5,0.11472144926707717
CNNM4,0.114466918696698
TSPAN18,0.11397804419764235
LAGE3,0.113066374796154
NRCAM,0.11291501772529222
NUCB1,0.11266196869842804
WDFY4,0.11261570007065203
SYT7,0.11231156964655264
FUCA2,0.11216694775657476
C19orf42,0.11197998695071631
MED12L,0.11174208571168398
SCAND2,0.1115220031304689
OTUD5,0.11135535705572441
NAAA,0.11094061154482504
FBXO33,0.11072331682035141
UQCR11,0.11059317805825142
PRPF19,0.11057142944487386
FICD,0.11052091372128126
EAPP,0.1104896248968894
SETD8,0.10992288367189351
NUDCD1,0.10958341105300917
SPINK1,0.1094101022496694
HBB,0.10936407520376168
RAB7L1,0.10933858509319427
CCL5,0.10911342773223076
SUZ12P,0.10911234256842595
COMMD8,0.10812975083029697
IRF7,0.10783853279348476
UBE2N,0.10767625837662576
RNF2,0.10703279613248484
BET1,0.1069163602807548
PRSS48,0.10652171847208591
MYL12B,0.10646726825456376
EPN1,0.10568490102000294
USP32,0.10556814338955167
CALCRL,0.10545886951003469
UBE4A,0.10527001230736732
SRBD1,0.10512958935936867
ACSF2,0.10474306349207341
AHR,0.1044795939299612
CD99L2,0.10444246979215843
FBXO22,0.10428633398676079
ACSL5,0.10421527931044317
IQCE,0.10413296485714763
CCNB2,0.10410347432307265
DIP2C,0.1040380629344293
ADAM1,0.10401153525607998
STX16,0.10395956584301524
LOC550112,0.1039115497714791
GPC1,0.10382950528451662
MGC57346,0.1038271226298435
C7orf46,0.1038168976915328
PTPN6,0.10377189351072236
C5orf4,0.1036868279121419
PARP11,0.10345065178111001
HS6ST1,0.10308438657321561
PGD,0.10294145337717464
KBTBD4,0.10291549408204403
FAM82B,0.10280263103812604
GYPC,0.10274121558078297
VPS11,0.10266359774864009
CALCOCO1,0.1025700702750818
AGBL5,0.10248656717687288
ADD1,0.10231090791512143
LOC646762,0.1022629337526586
AFMID,0.10207968156386937
FAM41C,0.10207792320249887
SH3BP2,0.10201446741256315
IL16,0.10197613271043693
ARHGEF9,0.10186732811633781
EVC,0.10184626258056673
DBNDD1,0.10174828049729068
COPG2,0.10172569709081114
HDDC2,0.1017053382710904
MAPRE2,0.10162259140905072
RGL4,0.10161312279425938
SNRNP25,0.10108954698046357
C12orf32,0.1010364761271747
GLOD4,0.10102475708676328
MUS81,0.1008553440903679
ASB7,0.1008273815515639
ZNF697,0.10082239642660995
HLA-DRB5,0.10074212566409613
SKIL,0.1006262440766712
TFAP2E,0.10053156142965691
ACTN4,0.1003119026468855
TBL1X,0.10028254851685259
CAPN10,0.10015289184873422
BTBD8,0.1000836950827051
SCAMP2,0.10002255524215342
KLHL18,0.09998425706471492
NGDN,0.09993159605051538
ATPAF2,0.0998884531949793
ANKRA2,0.09971364092871426
UBE2G1,0.09954525162570982
SHQ1,0.09938955420995033
TBK1,0.09932313660674352
IKZF2,0.09904997013495298
TFG,0.09888224021728265
MIPOL1,0.09882001532355011
ATXN7L3B,0.09862551427366961
LOC729852,0.09851172870661862
IPO5,0.09834126107086427
MAP1B,0.09820492204538511
ARHGEF2,0.09804933615354994
ATXN1,0.09778261648756836
ASCC3,0.09760599195574016
CD36,0.09752179111785053
ZFY,0.09711073238439383
